ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2017-0110,2017-09-06,2017,9,6,PEATON,PEATON,MASCULINO,56,2017-09-07 00:00:00
2017-0114,2017-09-15,2017,9,15,CONDUCTOR,AUTO,MASCULINO,26,2017-09-15 00:00:00
2017-0115,2017-09-19,2017,9,19,CONDUCTOR,MOTO,MASCULINO,34,SD
2017-0116,2017-09-20,2017,9,20,CONDUCTOR,MOTO,MASCULINO,22,2017-09-20 00:00:00
2017-0123,2017-10-10,2017,10,10,PEATON,PEATON,FEMENINO,36,2017-10-10 00:00:00
2017-0124,2017-10-12,2017,10,12,CONDUCTOR,MOTO,MASCULINO,51,2017-10-12 00:00:00
2017-0125,2017-10-13,2017,10,13,CONDUCTOR,MOTO,MASCULINO,29,2017-10-13 00:00:00
2017-0129,2017-10-26,2017,10,26,CONDUCTOR,MOTO,MASCULINO,57,2017-10-26 00:00:00
2017-0130,2017-10-27,2017,10,27,CONDUCTOR,AUTO,MASCULINO,23,2017-10-27 00:00:00
2017-0132,2017-10-30,2017,10,30,CONDUCTOR,MOTO,MASCULINO,23,2017-10-30 00:00:00
2017-0134,2017-11-06,2017,11,6,PEATON,PEATON,FEMENINO,47,2017-11-06 00:00:00
2017-0135,2017-11-07,2017,11,7,CONDUCTOR,MOTO,MASCULINO,24,2017-11-07 00:00:00
2017-0136,2017-11-16,2017,11,16,PEATON,PEATON,MASCULINO,55,2017-11-16 00:00:00
2017-0140,2017-11-19,2017,11,19,CONDUCTOR,MOTO,MASCULINO,24,2017-11-19 00:00:00
2017-0141,2017-11-23,2017,11,23,PEATON,PEATON,FEMENINO,22,2017-11-23 00:00:00
2017-0143,2017-11-25,2017,11,25,CONDUCTOR,AUTO,MASCULINO,50,2017-11-25 00:00:00
2017-0145,2017-11-26,2017,11,26,CONDUCTOR,MOTO,MASCULINO,58,2017-11-26 00:00:00
2017-0147,2017-11-28,2017,11,28,CONDUCTOR,MOTO,MASCULINO,49,2017-11-28 00:00:00
2017-0150,2017-12-04,2017,12,4,PEATON,PEATON,MASCULINO,56,2017-12-04 00:00:00
2017-0157,2017-12-17,2017,12,17,CONDUCTOR,AUTO,MASCULINO,53,2017-12-17 00:00:00
2017-0158,2017-12-18,2017,12,18,CONDUCTOR,MOTO,MASCULINO,32,2017-12-18 00:00:00
2017-0159,2017-12-20,2017,12,20,CONDUCTOR,MOTO,MASCULINO,27,2017-12-20 00:00:00
2017-0160,2017-12-22,2017,12,22,PEATON,PEATON,FEMENINO,30,2017-12-22 00:00:00
2017-0161,2017-12-26,2017,12,26,PEATON,PEATON,FEMENINO,30,2017-12-26 00:00:00
2018-0003,2018-01-05,2018,1,5,PEATON,PEATON,FEMENINO,58,2018-01-05 00:00:00
